GeneName	EntrezID	Inv_mean	Non_mean	Difference	p-value	q-value
KIAA0319L	79932	4.27691628901699	5.09998881147387	-0.823072522456885	1.17155982893297e-10	1.13807788224293e-07
PAR5	8123	0.7254351235929	1.41581051660377	-0.690375393010872	1.88257870186093e-10	1.73733775501236e-07
SUSD2	56241	4.21516812451462	7.00234886667511	-2.7871807421605	2.49585579291735e-10	2.09390956226707e-07
TMEM56	148534	1.5476394577311	2.59751542532331	-1.04987596759221	2.48423889045112e-10	2.09390956226707e-07
CACHD1	57685	1.71251476627599	3.08888115398888	-1.3763663877129	3.22861414205466e-10	2.48293880082928e-07
SORBS1	10580	2.24121860713203	3.44568858255479	-1.20446997542275	3.16454172158444e-10	2.48293880082928e-07
NFIX	4784	3.52948968985133	5.0241442595999	-1.49465456974857	3.36609533872232e-10	2.48512086667191e-07
LEFTY2	7044	0.452535621347153	1.61651581680136	-1.16398019545421	3.85835765503821e-10	2.63754471255705e-07
TCEB3	6924	3.63550432512573	4.35349361254344	-0.717989287417713	3.71922288781307e-10	2.63754471255705e-07
AURKB	9212	2.93181383239876	1.47114197051307	1.46067186188569	4.69679320362403e-10	2.9892659365272e-07
FREM2	341640	0.604659158390346	1.64723796774876	-1.04257880935841	4.62695190395161e-10	2.9892659365272e-07
MAPK10	5602	0.987092635928383	1.94004680801775	-0.952954172089369	5.58214154275605e-10	3.43431954848828e-07
PTCH1	5727	1.39568982402669	2.61930015283184	-1.22361032880515	7.61264317811437e-10	4.25777439813506e-07
LOC100128531	100128531	0.598385464051758	1.45203879484459	-0.853653330792835	7.29141924301351e-10	4.25777439813506e-07
GAPDH	2597	10.3514290198386	9.03573433747927	1.31569468235938	8.40884448622692e-10	4.56476596124383e-07
RPLP0P2	113157	1.37615250875589	0.453786473068658	0.922366035687232	1.03102340743166e-09	5.43702829456177e-07
PDZD2	23037	1.35888451352523	2.48000980301893	-1.1211252894937	1.06988684332018e-09	5.4852504075446e-07
CDKL1	8814	1.52329041443909	2.48209886237698	-0.95880844793789	1.22174874404707e-09	5.73686861869188e-07
LOC100506963	100506963	3.59017458643706	4.3269539581198	-0.736779371682737	1.24329384378651e-09	5.73686861869188e-07
LHFPL3	375612	0.166661480056946	0.753964862252436	-0.58730338219549	1.21899895862872e-09	5.73686861869188e-07
DTYMK	1841	4.41206350941993	3.46932797475457	0.942735534665365	1.296807069278e-09	5.83784587260101e-07
VPS13D	55187	2.17822288488778	2.81728008528706	-0.639057200399277	1.36769644439534e-09	6.0103745890964e-07
ADCY9	115	2.41064532835176	3.41459091087074	-1.00394558251899	1.47639589188072e-09	6.07870120257902e-07
HSDL2	84263	3.73813404271268	4.64126391380446	-0.903129871091779	1.44527963335072e-09	6.07870120257902e-07
SNRPA1	6627	4.8686587480767	4.24448047452788	0.624178273548824	1.48204775486838e-09	6.07870120257902e-07
PHACTR1	221692	1.40672015168146	2.40717876792097	-1.00045861623951	1.51636899072081e-09	6.08426575255087e-07
C1QTNF7	114905	1.06560799558593	2.27829797832416	-1.21268998273823	1.60743128810037e-09	6.18090818426426e-07
THOC4	10189	5.39912807300166	4.60150710953231	0.797620963469355	1.7740808095251e-09	6.54884190028097e-07
SLC16A3	9123	6.38854482279995	4.95779504737167	1.43074977542827	1.94327290427715e-09	7.03274274396929e-07
C5	727	1.71592089705979	3.56458658942922	-1.84866569236943	2.28494937493188e-09	7.66787465693048e-07
TYRP1	7306	0.680987681986893	2.00322704756665	-1.32223936557976	2.19320354542645e-09	7.66787465693048e-07
SLFNL1	200172	0.650406829551415	1.57006335143811	-0.919656521886695	2.20972248235324e-09	7.66787465693048e-07
SGSM1	129049	0.64481493720599	1.28727133908344	-0.642456401877449	2.26912144053601e-09	7.66787465693048e-07
PKMYT1	9088	2.43209071943058	1.06986422807554	1.36222649135503	2.53685910557214e-09	8.21452780904299e-07
NCRNA00152	112597	5.10855055085101	3.92644285599134	1.18210769485966	2.53166262248794e-09	8.21452780904299e-07
PLOD2	5352	4.68199554525761	3.06374236660607	1.61825317865153	2.66624213310875e-09	8.48462604323935e-07
CGNL1	84952	2.43974326974196	3.58437849313557	-1.14463522339361	2.84877741003582e-09	8.91184485712391e-07
KIAA0101	9768	3.53905031202902	2.10823722552615	1.43081308650287	2.97957381676556e-09	9.165665656007e-07
JPH1	56704	1.23447407429661	2.52104502447401	-1.2865709501774	3.15124677540472e-09	9.53484618584342e-07
CST5	1473	0.406315992103349	1.43729251246008	-1.03097652035673	3.45664028154793e-09	1.02901951091178e-06
TMSB10	9168	11.3474126827439	10.3504882355152	0.996924447228686	3.51865947578626e-09	1.03085552292995e-06
CNKSR2	22866	0.334533260232561	0.929073533208078	-0.594540272975517	3.81585860658272e-09	1.10045784846402e-06
ZNRF3	84133	1.87011229205003	2.70012944809626	-0.830017156046229	4.36688091125397e-09	1.23999263044638e-06
ADRB2	154	1.95287767157544	3.04220953807256	-1.08933186649712	4.78203888227114e-09	1.33730441894058e-06
LARGE	9215	2.05777675320819	2.87356114173066	-0.815784388522474	4.96909796302779e-09	1.3688752403523e-06
EXPH5	23086	1.5110218728869	2.60438328877601	-1.09336141588911	5.04846068481913e-09	1.37028586558392e-06
CADM1	23705	3.61577110213443	5.11318103303489	-1.49740993090047	5.3226024175301e-09	1.4034181831479e-06
MS4A15	219995	1.54649746508235	4.37158846119098	-2.82509099610863	5.78288462957502e-09	1.4319882802448e-06
PCDP1	200373	1.77774740482914	3.14993307938129	-1.37218567455215	5.8188828638652e-09	1.4319882802448e-06
GINS2	51659	2.86763455571886	1.59671903799356	1.2709155177253	5.55451544508495e-09	1.4319882802448e-06
MYLIP	29116	3.41253483464248	4.350664038918	-0.93812920427552	5.62621365768652e-09	1.4319882802448e-06
TPI1	7167	8.25798449796745	7.35548319217206	0.902501305795389	6.25758155409957e-09	1.5102383855369e-06
C11orf92	399948	0.991722199910594	2.4308901152582	-1.43916791534761	9.06776269951711e-09	2.11852779930364e-06
PRG4	64748	1.06917316693059	2.83742502369794	-1.76825185676735	9.31426537515136e-09	2.12238760529838e-06
COL4A3	1285	1.5721889073595	2.56260829062861	-0.990419383269101	9.23906334852515e-09	2.12238760529838e-06
PLEKHH2	130271	1.88300616429378	2.93879254082319	-1.05578637652941	9.45457832302703e-09	2.12808722083061e-06
ANGPT1	284	2.20741269107696	3.57167886313282	-1.36426617205586	1.00784944747042e-08	2.16300898278623e-06
PKM2	5315	8.53021789164324	7.60781094609868	0.922406945544561	9.96533030154491e-09	2.16300898278623e-06
SCAI	286205	1.05593367239193	1.64783535907654	-0.591901686684611	9.94897580213303e-09	2.16300898278623e-06
PBK	55872	2.07594924832599	0.906548881903235	1.16940036642276	1.04285994721984e-08	2.21242138457892e-06
SLC27A3	11000	3.5054691526581	4.80621483774575	-1.30074568508766	1.12111647247361e-08	2.22819872035138e-06
CCNB1	891	3.79968166743745	2.28894346799959	1.51073819943786	1.06989201264666e-08	2.22819872035138e-06
WNT11	7481	0.95093319461525	2.05028328190682	-1.09935008729157	1.12273111010824e-08	2.22819872035138e-06
KIAA1671	85379	2.58245329320289	3.43394680056609	-0.851493507363199	1.12117132962825e-08	2.22819872035138e-06
H2AFZ	3015	7.22224830217527	6.44939495235784	0.772853349817429	1.0919139677627e-08	2.22819872035138e-06
CTSH	1512	7.66010688119215	9.28549606604701	-1.62538918485486	1.15987427147024e-08	2.2660796907261e-06
SPAG9	9043	3.79594192134031	4.65644308329674	-0.860501161956437	1.1663735743565e-08	2.2660796907261e-06
TACC3	10460	3.9028964429752	2.71236581743386	1.19053062554135	1.19470675834746e-08	2.29694819154366e-06
DRAM1	55332	4.9269031364562	6.42590181837687	-1.49899868192067	1.22786901974373e-08	2.33636891725877e-06
PLK1	5347	3.10851184136699	1.50922140522979	1.5992904361372	1.26084737915813e-08	2.37463878337976e-06
GFRA1	2674	0.73597380552831	1.78827769045114	-1.05230388492283	1.3155902521114e-08	2.4199984852862e-06
SPC24	147841	2.21432114894494	1.06432563002806	1.14999551891688	1.32426638681208e-08	2.4199984852862e-06
ARHGAP24	83478	2.02744999880712	2.76897000554704	-0.741520006739914	1.3003843412419e-08	2.4199984852862e-06
CABLES1	91768	2.50080970280392	3.50004138820802	-0.999231685404096	1.33866272549734e-08	2.42232332593181e-06
LIFR	3977	2.67085098500024	3.98713832812064	-1.3162873431204	1.38796210930946e-08	2.48714724772084e-06
LOC401022	NA	2.39539590138849	4.47983163620191	-2.08443573481342	1.40715403710241e-08	2.49729250603839e-06
CDT1	81620	2.23405783947858	1.0154952657974	1.21856257368118	1.47528965810251e-08	2.56881332260359e-06
DNAJC9	23234	4.52241778192003	3.77229109152231	0.750126690397723	1.46882782676847e-08	2.56881332260359e-06
KIAA0494	9813	4.80128796787711	5.50635973586503	-0.70507176798792	1.58437369687758e-08	2.70766530771014e-06
NCRNA00247	404201	0.699445338374071	1.30837525186453	-0.608929913490459	1.57557985455855e-08	2.70766530771014e-06
LOXL2	4017	3.7752792847771	2.03991818066432	1.73536110411278	1.63023773743988e-08	2.7604860476998e-06
SCN4B	6330	1.30628105337777	2.40558232982606	-1.09930127644829	1.71110591542539e-08	2.87108017100058e-06
GCNT4	51301	0.560667583683906	1.18773399113253	-0.627066407448622	1.74480905712661e-08	2.90125592498971e-06
PPP1R14B	26472	6.43378233996166	5.39019254368236	1.04358979627931	1.79381262890685e-08	2.95610711533337e-06
NOTCH3	4855	4.69081049296764	3.77254208907804	0.918268403889607	1.8157180731955e-08	2.96572641389109e-06
GSTA4	2941	3.65296087203169	4.72576331268807	-1.07280244065638	1.91243369510384e-08	3.09629725530978e-06
TACC1	6867	4.13508480248423	4.99476487129427	-0.859680068810038	1.92947253406603e-08	3.0967195270658e-06
RRM2	6241	3.74877218090685	2.03534237516054	1.71342980574631	2.0060861741794e-08	3.1378247895618e-06
SPAG5	10615	2.79403305648923	1.51872878248114	1.27530427400808	1.98436872254851e-08	3.1378247895618e-06
RNF180	285671	1.3526878795461	2.06506536396773	-0.712377484421633	1.99971301964009e-08	3.1378247895618e-06
POSTN	10631	7.25665969598875	5.24512784228599	2.01153185370276	2.05532667344663e-08	3.18782894216845e-06
ZWINT	11130	3.70252667834102	2.49498276806686	1.20754391027415	2.09194172155729e-08	3.2175806962319e-06
SYP	6855	0.757007028168601	1.77471960046536	-1.01771257229676	2.14106546570677e-08	3.23915125414343e-06
SEPP1	6414	7.06009041876988	8.32335238262767	-1.26326196385779	2.20988849353205e-08	3.31609040041634e-06
CDON	50937	0.870122983742685	1.66256999642063	-0.79244701267795	2.2509522375088e-08	3.35046979416935e-06
SERINC5	256987	3.34147513178882	4.19294466397207	-0.851469532183246	2.32937622976296e-08	3.4394637658188e-06
HSPC159	NA	2.12516367447517	3.19933698883073	-1.07417331435556	2.55297354871332e-08	3.65273122392262e-06
LUZP2	338645	0.210547005047799	1.10986581642119	-0.899318811373395	2.53856998932831e-08	3.65273122392262e-06
GLCCI1	113263	2.83484207067169	3.80826848388494	-0.973426413213241	2.6332048098325e-08	3.69183833181721e-06
SPC25	57405	2.21453666446313	1.29033785738906	0.924198807074067	2.6403134843142e-08	3.69183833181721e-06
CACNB4	785	0.341578534844261	1.01952928483202	-0.677950749987763	2.6386852975486e-08	3.69183833181721e-06
TPX2	22974	3.28122011783973	1.56956222188667	1.71165789595307	2.71530880366235e-08	3.76815448039068e-06
C7orf23	79161	4.83370446518995	5.86951269872285	-1.03580823353291	2.85039714215005e-08	3.89702074464174e-06
CDC6	990	2.46164425057629	1.08184894108447	1.37979530949183	2.97937230192306e-08	4.04340254239661e-06
FGF14	2259	0.697984717811689	1.39987329943681	-0.701888581625123	3.08822986298307e-08	4.13039554935351e-06
FBLN5	10516	3.98000346897688	5.10106912359093	-1.12106565461405	3.1838774486309e-08	4.13836803305496e-06
BTBD9	114781	2.54122355023664	3.46755166629489	-0.926328116058242	3.17951710999164e-08	4.13836803305496e-06
PDE8B	8622	0.760750405675612	1.47104107292129	-0.710290667245674	3.11945468036204e-08	4.13836803305496e-06
FBXO38	81545	3.33702458326013	3.96987194435559	-0.632847361095465	3.34861646859064e-08	4.3220569343201e-06
C5orf41	153222	2.53417946594921	3.18777170769569	-0.65359224174648	3.39222315605398e-08	4.34793491606169e-06
FLRT3	23767	3.05703965548634	4.54387629468164	-1.48683663919529	3.43385578530547e-08	4.37094318823332e-06
REPS2	9185	1.54053290635146	2.47253785279499	-0.932004946443526	3.63134339459025e-08	4.59066472835289e-06
MYBL2	4605	3.37635838319684	1.43733665575704	1.9390217274398	3.72897611416428e-08	4.68202123395443e-06
SEC14L6	730005	0.979778044835779	2.0863216172196	-1.10654357238383	3.82840217855703e-08	4.77437966281265e-06
NUDT1	4521	4.28758642755082	3.41413808383891	0.873448343711918	3.98406254275967e-08	4.93515720481311e-06
CDCA5	113130	2.86991154640075	1.40575954411056	1.46415200229019	4.02311852065798e-08	4.95031323571896e-06
CDC45	8318	2.07794912881424	0.935797518389523	1.14215161042472	4.67681085092805e-08	5.65150951357315e-06
RASSF8	11228	2.43469406688889	3.35159035622416	-0.916896289335268	4.68484019925607e-08	5.65150951357315e-06
GPR116	221395	4.72071098990757	6.63820812453324	-1.91749713462567	4.8275494974665e-08	5.78584942043761e-06
F11	90338	0.330131621888594	1.32456827406486	-0.994436652176262	4.91322079879239e-08	5.81303309508404e-06
CDC20	991	3.48884066082074	1.6810430245967	1.80779763622405	4.9701528084205e-08	5.84293696719855e-06
TOX	9760	1.6911259501122	2.68091852381874	-0.989792573706537	5.05265802324396e-08	5.9023360212034e-06
DDAH1	23576	4.37867247919186	5.34117112564843	-0.962498646456567	5.2456220762797e-08	6.08921048188016e-06
NCRNA00261	140828	1.2305237675223	2.79160519106102	-1.56108142353873	5.46574684762257e-08	6.22724009670183e-06
THSD4	79875	1.51112270782676	2.24956987765251	-0.738447169825754	5.44519808559402e-08	6.22724009670183e-06
SMAD9	4093	0.982371826954336	1.66261800506353	-0.680246178109197	5.45821273304168e-08	6.22724009670183e-06
NR0B2	8431	0.727255571922546	2.44714892450397	-1.71989335258142	5.61885496965879e-08	6.28589038810674e-06
ZNF682	91120	0.917363541237376	1.77416914808672	-0.85680560684934	5.64088964209542e-08	6.28589038810674e-06
LZTFL1	54585	2.75406770345935	3.37414733279511	-0.62007962933576	5.65915360290634e-08	6.28589038810674e-06
SLC25A36	55186	3.65200666241921	4.25389472021033	-0.601888057791116	5.57321894825036e-08	6.28589038810674e-06
CCDC137	339230	3.93356889068157	3.29652206213461	0.637046828546967	5.68750985974874e-08	6.28589038810674e-06
FAM64A	54478	1.56589666923659	0.63928871926058	0.926607949976006	5.79937138117669e-08	6.33366849599871e-06
SHANK2	22941	1.31506462607394	2.17230921371805	-0.857244587644112	5.9659836570055e-08	6.47730355043238e-06
ARHGAP44	9912	2.2780202539604	3.32510165545957	-1.04708140149917	6.01657441304075e-08	6.48128957467289e-06
CLUL1	27098	0.563370513847515	1.54546926212951	-0.98209874828199	6.03988625910894e-08	6.48128957467289e-06
C2orf40	84417	1.72057342923102	3.29996779480862	-1.5793943655776	6.12235105455966e-08	6.53180539965362e-06
SHE	126669	2.20753768334542	3.58979094291802	-1.3822532595726	6.41969377402547e-08	6.80967172340162e-06
GRIA1	2890	0.439008713885991	1.26893711552393	-0.829928401637934	6.49313529991198e-08	6.84821704174145e-06
WNT4	54361	0.741570461034139	1.79113842563494	-1.0495679646008	6.6061075732519e-08	6.92777997042673e-06
CRY2	1408	3.18492306379363	3.99623468129404	-0.811311617500419	6.65720224030537e-08	6.94191987284272e-06
C19orf28	126321	4.27200631073945	3.60586734373668	0.666138967002769	7.22043835461663e-08	7.48694554557074e-06
PREPL	9581	3.51773078159563	4.17818626094709	-0.660455479351469	7.29095698227691e-08	7.51783201239581e-06
SESN1	27244	3.21326686071721	3.95400692141492	-0.740740060697711	7.67682875672125e-08	7.87173490904467e-06
SLC25A10	1468	3.74847040711731	2.96790102544622	0.780569381671091	7.73749574537698e-08	7.88435064562838e-06
FAM104B	90736	2.70018979718429	3.38616402519111	-0.685974228006822	7.77456692585125e-08	7.88435064562838e-06
RCAN2	10231	2.73061637322573	3.86634233543682	-1.1357259622111	8.0154464048997e-08	8.08421280301824e-06
LCA5	167691	1.51491619003249	2.32025770648129	-0.805341516448803	8.39817093975489e-08	8.39757703108727e-06
DDX39A	10212	5.08386470891749	4.34834244950664	0.735522259410849	8.64266951554743e-08	8.57622318540101e-06
FEN1	2237	3.86713728355603	2.85395717771823	1.01318010583781	8.78552489510727e-08	8.67136005288742e-06
PLEKHM3	389072	1.49378144565261	2.11495378931687	-0.621172343664258	9.0593893069204e-08	8.84704489089047e-06
C1orf130	400746	1.57110084704105	2.89472389137901	-1.32362304433796	9.35496096710573e-08	9.05140007019392e-06
CCNB2	9133	3.03831789994577	1.68273340581695	1.35558449412883	9.36673031048946e-08	9.05140007019392e-06
BIRC5	332	2.90979609372584	1.25766154999015	1.6521345437357	9.81555800269744e-08	9.43571635707222e-06
C1orf150	148823	0.34325133820931	0.938020961366989	-0.594769623157679	9.94735636800473e-08	9.51286821161986e-06
MC1R	4157	1.67759271367725	0.840816816334697	0.836775897342557	1.00281379727923e-07	9.54068776102208e-06
RORA	6095	1.8334278954874	2.69602666661698	-0.862598771129583	1.02411933244357e-07	9.59501041569085e-06
MTMR12	54545	3.32449680120753	3.98220414410126	-0.65770734289373	1.02061601344129e-07	9.59501041569085e-06
FAM125B	89853	2.42412077474383	3.22364288331369	-0.799522108569867	1.0395255294932e-07	9.69016297871512e-06
TMPRSS2	7113	4.14890791502628	6.28407754562758	-2.1351696306013	1.06042136034986e-07	9.83527489848104e-06
NEK2	4751	2.51736800771458	1.04749666034478	1.4698713473698	1.10308403204017e-07	1.00826195927567e-05
PRDM16	63976	1.02063148173255	1.93901953981467	-0.918388058082114	1.1062758186574e-07	1.00826195927567e-05
AVEN	57099	3.10470121552113	2.40664809301863	0.698053122502504	1.10894066063261e-07	1.00826195927567e-05
UHRF1	29128	2.95857588609779	1.40011834272869	1.5584575433691	1.13375841142382e-07	1.02577348037497e-05
C1QTNF6	114904	3.51570827257012	2.16816495425281	1.3475433183173	1.22509229229261e-07	1.10300138726072e-05
DEPDC1B	55789	1.79888648751937	0.754460689779614	1.04442579773976	1.2434766498325e-07	1.11411886048342e-05
TROAP	10024	1.95026690317237	0.793587416208902	1.15667948696347	1.29752198109751e-07	1.14325278357846e-05
TRAK2	66008	3.31092065417984	3.99952994299754	-0.688609288817706	1.29089163148207e-07	1.14325278357846e-05
LOC100507632	NA	0.527226347142729	1.19766105448065	-0.670434707337917	1.33036804041945e-07	1.15823598688782e-05
AADAC	13	0.921568716923663	2.78224390659686	-1.8606751896732	1.38300759166117e-07	1.16557858992192e-05
CHRDL1	91851	2.81586743606453	4.60469632866953	-1.788828892605	1.34795595505523e-07	1.16557858992192e-05
MEGF11	84465	0.119153458680882	1.28727036859245	-1.16811690991157	1.382678888413e-07	1.16557858992192e-05
RRAS2	22800	3.71689714210848	4.49609896433491	-0.779201822226436	1.37448133422372e-07	1.16557858992192e-05
ZNF493	284443	1.55382481914107	2.27698895922437	-0.7231641400833	1.38292029275703e-07	1.16557858992192e-05
SYNE1	23345	2.06923441030707	2.76636435118269	-0.697129940875612	1.37670463997548e-07	1.16557858992192e-05
IL6R	3570	3.55944187703333	4.46071988096598	-0.901278003932653	1.41289540700496e-07	1.18535502395866e-05
KIFC1	3833	2.605300933089	1.4162838713214	1.18901706176759	1.45502008101114e-07	1.20969845203705e-05
ECHDC1	55862	4.91614622786951	5.75445282793761	-0.838306600068098	1.46437205207271e-07	1.21201412399578e-05
UBE2S	27338	4.14886793986239	2.87470527575947	1.27416266410292	1.54906133003471e-07	1.27638504323441e-05
RAD51	5888	1.63994738731167	0.809652770126007	0.830294617185664	1.59857835907614e-07	1.30880966727223e-05
FAM8A1	51439	3.6354053207653	4.36578090782398	-0.730375587058681	1.60259513899075e-07	1.30880966727223e-05
NBEAL1	65065	1.37725040379201	2.20381862545216	-0.826568221660153	1.64627258728975e-07	1.33268654138627e-05
FAM117A	81558	3.03754306697465	3.68334238756493	-0.645799320590278	1.63965293726574e-07	1.33268654138627e-05
PTTG1	9232	4.94562052488417	3.45920456741003	1.48641595747414	1.67908706447299e-07	1.35331484493354e-05
RASL11A	387496	2.31183654367453	3.41143033446856	-1.09959379079402	1.7277318428459e-07	1.38646724449595e-05
MTMR10	54893	2.84584170131462	3.43422261748408	-0.588380916169465	1.75480755491246e-07	1.40209883294456e-05
STC1	6781	2.49164052773586	1.11376246063811	1.37787806709774	1.79667010872384e-07	1.41943311572595e-05
HLF	3131	1.83430747996559	3.1996261125176	-1.36531863255201	1.79979947212303e-07	1.41943311572595e-05
MS4A2	2206	1.45398712767249	2.65239702090679	-1.1984098932343	1.80612681625796e-07	1.41943311572595e-05
PPIF	10105	4.64806710265411	3.86598718760056	0.782079915053557	1.80726435604701e-07	1.41943311572595e-05
GREM1	26585	3.98494370460507	1.37969279549399	2.60525090911108	1.82572328765622e-07	1.42785486102843e-05
LDHA	3939	8.30533973422888	7.34725407261278	0.958085661616106	1.85705215247488e-07	1.44622833663413e-05
WWC1	23286	2.89637526879876	3.8328065569904	-0.936431288191642	1.92416633980686e-07	1.48595557045252e-05
FAM83A	84985	4.87441651287745	2.28041016521866	2.59400634765879	1.99587493666739e-07	1.5222257729781e-05
FOXM1	2305	2.97116087343647	1.42792743971638	1.54323343372009	2.02645388446335e-07	1.53779892874909e-05
SCP2	10388	6.2892432634457	6.89800506974453	-0.608761806298827	2.04256989799554e-07	1.53876377988995e-05
B3GNT1	11041	3.27372717126178	4.01313201532744	-0.739404844065664	2.13285946735649e-07	1.60025151174791e-05
MCM4	4173	3.99943669233018	2.89540148623272	1.10403520609745	2.20295093891192e-07	1.63630825375956e-05
MTHFD2	10797	5.03806280779017	4.12495462787523	0.913108179914938	2.20739421728555e-07	1.63630825375956e-05
SLC18A2	6571	2.33409107347606	3.18828656210889	-0.854195488632837	2.20751343764496e-07	1.63630825375956e-05
STX1A	6804	2.70698095393281	1.61395392767052	1.09302702626229	2.23000774918852e-07	1.6463701210709e-05
SLC2A1	6513	4.58167670799331	2.75707554707532	1.82460116091799	2.28843171716673e-07	1.66946973137337e-05
ZNF204P	7754	1.96106415454713	3.08391475083111	-1.12285059628398	2.39201114195309e-07	1.7313470449815e-05
POC1A	25886	2.03826971376876	1.26692489286075	0.771344820908006	2.39007687887864e-07	1.7313470449815e-05
DPYSL2	1808	4.59088023849614	5.70308312704814	-1.112202888552	2.47691988171651e-07	1.77885253917672e-05
USP2	9099	0.707907459272189	1.42333959958111	-0.715432140308924	2.57337434534092e-07	1.8386811494627e-05
SLC16A7	9194	1.55868204910707	2.82649662761226	-1.26781457850519	2.64775545678906e-07	1.87302995286346e-05
BCRP3	644165	0.516398189376761	1.42570100206969	-0.909302812692932	2.64864722163603e-07	1.87302995286346e-05
RPUSD1	113000	3.77722424093772	3.09448259203961	0.682741648898106	2.69384346570472e-07	1.89772018498137e-05
RGN	9104	1.81425687492882	2.95881047599961	-1.1445536010708	2.72835431942927e-07	1.91472378987475e-05
DAPK1	1612	3.76343682604488	4.67868702640206	-0.915250200357178	2.75357553628808e-07	1.92510392701777e-05
PENK	5179	0.7079868073823	2.01899270770953	-1.31100590032723	2.80521732454145e-07	1.94205951115572e-05
NUF2	83540	2.39393402819633	1.12363813126785	1.27029589692848	2.79432607526189e-07	1.94205951115572e-05
CYBA	1535	8.34041781857871	7.39407619738453	0.946341621194188	2.80939421075244e-07	1.94205951115572e-05
ORC6	23594	2.06847279552501	1.05701520244752	1.01145759307749	2.91346507222523e-07	1.99902694565283e-05
WBSCR17	64409	1.07645672712769	2.08461194522424	-1.00815521809655	2.95004203037637e-07	2.0166268798021e-05
ENPP4	22875	3.44094498804212	4.31045328848348	-0.869508300441352	3.0584285737128e-07	2.06248060678994e-05
ZNF238	10472	3.59663835427156	4.38411123194414	-0.787472877672584	3.05634675663806e-07	2.06248060678994e-05
SLC25A37	51312	3.73787285591504	2.8766123513696	0.861260504545433	3.09588693147698e-07	2.06298132959913e-05
ZFP3	124961	1.26700355046943	1.93372035047262	-0.666716800003188	3.08763827440056e-07	2.06298132959913e-05
CNTFR	1271	0.290536356649287	0.884548726171503	-0.594012369522216	3.20586603247841e-07	2.12081252191592e-05
CYP4B1	1580	4.31925224237243	6.79694207708298	-2.47768983471056	3.24633421397768e-07	2.13518765096738e-05
PDK2	5164	2.8328176566387	3.52548725977945	-0.692669603140747	3.250732675526e-07	2.13518765096738e-05
CDCA3	83461	2.48401561806216	1.16753701465584	1.31647860340632	3.30248930763691e-07	2.15385318554963e-05
NDC80	10403	2.24601851426045	1.12174751676493	1.12427099749552	3.33363079319709e-07	2.16650787148023e-05
ITGA9	3680	2.2863861093826	3.53508723713677	-1.24870112775417	3.35864025668003e-07	2.1751025690366e-05
TDRD10	126668	0.86727699481632	1.81940500021037	-0.952128005394052	3.55275949060561e-07	2.29277209503873e-05
SFRP2	6423	6.46743523008188	3.91397668027189	2.55345854980998	3.60019805868827e-07	2.30725192948644e-05
SCN7A	6332	2.0984744240375	3.52039134300221	-1.42191691896471	3.59580439813616e-07	2.30725192948644e-05
CLIC5	53405	2.73374380374798	4.29519282019433	-1.56144901644636	3.64297927921466e-07	2.32343063251824e-05
KIF2C	11004	2.53499371802585	1.1221982571498	1.41279546087606	3.66752531341276e-07	2.32343063251824e-05
SYT15	83849	1.60766872823858	2.75482421070651	-1.14715548246792	3.67048850443191e-07	2.32343063251824e-05
SHCBP1	79801	2.21351692117345	1.13609501354176	1.07742190763169	3.67579641705221e-07	2.32343063251824e-05
BCHE	590	1.29562600167238	2.39357434741301	-1.09794834574063	3.69191563984017e-07	2.3256548452058e-05
