A549AMG0.1rep1.htseq	A549AMG0.1rep2.htseq	A549AMG0.1rep3.htseq	A549AMG0.1rep4.htseq	A549DMSOrep1.htseq	A549DMSOrep2.htseq	A549DMSOrep3.htseq	A549DMSOrep4.htseq
ABCA9-AS1	0	0	0	0	0	0	0	0
ABCB1	5	4	8	4	2	3	4	7
ABCB10	26	73	71	37	35	108	158	201
ABCB11	0	0	0	1	1	0	0	0
ABCB4	0	1	0	0	0	0	4	0
ABCB5	0	0	0	1	0	0	0	0
ABCB6	470	773	862	747	136	350	376	509
ABCB7	114	154	202	95	50	202	237	198
ABCB8	603	738	1113	1013	236	648	892	1019
ABCB9	102	180	223	210	56	81	115	182
ABCC1	5942	7956	10159	8392	1630	5167	6650	8255
ABCC10	265	394	468	408	62	221	260	310
ABCC11	2	6	5	14	1	7	0	2
ABCC12	1	0	1	2	0	0	2	1
ABCC13	0	0	0	0	0	0	0	0
ABCC2	2809	3701	4774	3445	1323	4086	4634	5806
ABCC3	6652	8855	12033	9495	1364	3557	4395	5613
ABCC4	54	78	105	83	80	148	193	184
ABCC5	193	270	342	241	64	211	293	331
ABCC5-AS1	0	0	0	0	0	0	0	0
ABCC6	47	37	83	67	14	11	13	25
ABCC6P1	0	0	6	4	0	0	4	0
ABCC6P2	3	2	7	4	0	4	0	1
ABCC8	62	64	54	57	2	11	23	37
ABCC9	0	0	0	0	0	0	0	0
ABCD1	216	256	413	337	44	103	147	147
ABCD2	0	0	0	0	0	0	1	1
ABCD3	46	44	95	70	31	58	122	129
ABCD4	399	479	746	650	109	309	321	463
ABCE1	39	65	67	53	31	106	135	149
ABCF1	0	0	2	0	0	1	2	0
ABCF2	1761	2392	2840	2351	564	2045	2604	3331
ABCF3	702	809	1071	919	225	466	631	862
ABCG1	148	209	276	241	2	13	22	35
ABCG2	18	37	77	43	113	63	75	85
ABCG4	13	34	30	16	2	1	4	4
ABCG5	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0
ABHD1	29	28	53	34	5	9	16	30
ABHD10	67	48	110	66	77	132	95	99
ABHD11	187	296	413	340	127	279	321	390
ABHD11-AS1	11	11	20	24	3	9	2	3
ABHD12	2666	3524	4575	3877	772	2173	2916	3526
ABHD12B	0	0	0	0	0	0	0	0
ABHD13	18	13	17	9	12	17	35	16
ABHD14A	140	206	283	241	33	128	164	213
ABHD14A-ACY1	4	2	0	0	0	0	0	0
ABHD14B	946	1137	1659	1413	233	571	780	1023
ABHD15	670	880	1056	894	233	556	690	896
ABHD16A	0	0	0	0	0	0	0	0
ABHD16B	79	105	188	215	15	39	61	82
ABHD17A	484	630	956	847	187	401	500	610
ABHD17B	71	95	127	119	36	125	150	182
ABHD17C	124	171	216	193	55	149	144	239
ABHD18	38	63	56	62	11	36	74	77
ABHD2	628	1076	1167	1011	297	977	1153	1529
ABHD3	107	158	206	164	27	99	129	185
ABHD4	4229	5488	7202	6048	899	2856	3813	4533
ABHD5	43	50	93	47	36	78	106	75
ABHD6	220	283	423	305	61	197	214	320
ABHD8	244	347	564	494	60	124	150	198
ABI1	277	372	554	417	94	520	634	697
ABI2	326	484	679	406	137	396	538	690
ABI3	5	5	8	10	1	4	2	1
ABI3BP	9	12	23	13	1	11	11	14
ABL1	2492	3488	4894	3871	837	2422	3053	3806
ABL2	680	899	996	836	147	546	705	880
ABLIM1	525	700	870	707	196	544	619	775
ABLIM2	4	10	27	16	0	1	1	3
ABLIM3	500	657	876	736	136	435	467	647
ABO	0	0	1	0	0	0	1	0
ABR	2052	3078	3779	3310	915	2559	3222	3985
ABRA	0	0	0	0	0	0	0	0
ABRACL	189	295	357	302	101	270	325	356
ABT1	269	346	453	445	125	333	276	468
ABTB1	220	332	395	442	49	126	158	188
ABTB2	674	870	1218	952	182	542	719	875
ACAA1	699	1047	1201	1289	263	610	726	1070
ACAA2	438	611	779	615	326	670	734	874
ACACA	1696	2183	3007	2103	650	2288	2407	3322
ACACB	219	231	326	263	56	263	261	239
ACAD10	334	486	560	513	98	259	345	389
ACAD11	13	18	16	19	4	16	24	19
ACAD8	160	232	242	212	40	158	132	221
ACAD9	409	568	717	607	178	424	527	674
ACADL	5	5	9	1	0	2	2	9
ACADM	47	38	45	71	43	58	75	117
ACADS	289	320	503	441	90	179	230	246
ACADSB	102	159	200	144	47	179	221	276
ACADVL	4964	6699	8583	7897	1525	3553	4317	5353
ACAN	2	2	3	6	0	0	2	2
ACAP1	8	13	9	21	2	3	1	2
ACAP2	30	28	43	43	16	73	69	92
ACAP3	274	335	544	479	177	285	383	452
ACAT1	662	677	1111	769	279	815	918	1149
ACAT2	225	220	312	214	175	350	395	417
ACBD3	263	292	363	257	136	324	368	461
ACBD4	474	585	860	677	91	164	298	354
ACBD5	283	384	458	417	129	370	534	584
ACBD6	534	849	1029	860	251	500	588	770
ACBD7	17	19	21	16	20	30	30	52
ACCS	289	363	500	404	65	136	273	269
ACCSL	0	1	0	0	0	0	0	0
ACD	293	401	538	450	150	443	624	773
ACE	1	2	3	4	0	7	7	0
ACE2	1	1	0	4	0	2	3	3
ACER1	0	1	1	0	0	0	0	1
ACER2	39	70	71	54	6	6	16	21
ACER3	152	185	297	173	140	244	238	285
ACHE	61	69	108	121	7	7	14	14
ACIN1	2340	3081	3727	3347	955	2839	3244	4369
ACKR1	0	0	0	0	0	1	0	0
ACKR2	0	1	1	0	0	2	1	1
ACKR3	220	306	465	364	74	320	390	463
ACKR4	0	0	0	0	0	0	0	0
ACLY	8318	11262	14595	11323	3637	12588	14567	18327
ACMSD	0	0	0	0	0	0	0	0
ACO1	2533	3263	4448	3247	801	2057	2444	3015
ACO2	810	1034	1551	1236	328	921	1083	1558
ACOT1	270	386	390	484	76	182	211	283
ACOT11	10	29	28	28	16	15	40	32
ACOT12	0	0	5	1	0	1	0	1
ACOT13	1181	1380	1790	1509	484	918	978	1328
ACOT2	924	1349	1637	1625	353	627	782	1047
ACOT4	43	68	99	73	6	42	37	63
ACOT6	1	1	2	0	0	0	0	1
ACOT7	991	1403	1867	1760	483	957	1206	1559
ACOT8	260	369	502	427	75	182	293	255
ACOT9	678	808	1097	819	312	554	736	948
ACOX1	602	791	980	703	135	453	544	749
ACOX2	19	18	27	45	1	14	24	16
ACOX3	115	139	221	171	47	101	159	202
ACOXL	0	0	0	0	0	0	0	1
ACP1	1575	2251	2609	2080	612	1619	2294	2753
ACP2	694	951	1320	1178	241	549	707	863
ACP5	19	39	58	31	3	5	12	7
ACP6	400	562	769	776	147	396	489	671
ACP7	6	5	6	4	0	1	0	4
ACPP	1	0	0	3	0	0	2	0
ACPT	0	0	0	0	0	0	0	0
ACR	1	0	1	0	0	0	0	0
ACRBP	2	5	5	5	0	7	1	8
ACRC	5	13	6	9	2	14	16	13
ACRV1	0	0	0	0	0	4	0	0
ACSBG1	1	2	1	8	1	0	0	9
ACSBG2	0	1	0	0	0	0	0	0
ACSF2	802	1000	1259	1064	143	361	482	601
ACSF3	315	477	638	552	120	345	419	432
ACSL1	213	239	429	318	71	263	279	380
ACSL3	497	721	1019	812	462	839	983	1288
ACSL4	273	340	357	299	123	193	279	274
ACSL5	9	12	22	13	2	4	8	4
ACSL6	7	5	4	10	0	1	3	7
ACSM1	1	4	1	2	0	0	0	0
ACSM2A	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0
ACSM3	42	50	73	45	30	74	103	114
ACSM4	1	1	0	1	0	2	1	1
ACSM5	0	0	4	0	0	0	0	0
ACSM6	1	1	0	1	0	0	0	1
ACSS1	180	224	300	289	66	208	310	378
ACSS2	609	757	917	718	146	402	417	590
ACSS3	2	0	3	13	5	0	6	1
ACTA1	77	120	87	185	44	46	85	90
ACTA2	2031	2711	3590	3030	244	569	711	883
ACTA2-AS1	25	77	49	125	9	11	13	24
ACTB	109146	149228	191388	166029	47029	113452	133474	168813
ACTBL2	1	0	2	2	0	0	1	1
ACTC1	1	0	0	4	0	1	0	0
ACTG1	83039	109359	157910	127646	32609	89846	112606	141875
ACTG1P17	1	6	1	2	0	1	2	0
ACTG1P20	109	154	102	266	36	78	120	182
ACTG1P4	2	10	2	9	4	6	3	4
ACTG2	19	10	13	50	13	10	14	11
ACTL10	0	0	1	2	1	1	0	1
ACTL6A	49	101	153	123	161	217	217	233
ACTL6B	4	0	6	14	0	0	0	0
ACTL7A	0	0	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0	0	0
ACTL8	7	2	10	11	6	27	26	52
ACTL9	0	0	0	0	0	0	0	0
ACTN1	9528	12717	17154	14854	3601	9208	11546	14979
ACTN1-AS1	4	0	0	1	0	0	0	0
ACTN2	1	8	8	7	1	0	3	1
ACTN3	0	1	2	2	0	1	3	2
ACTN4	26441	36392	50879	41552	9288	24557	30670	38578
ACTR10	93	105	169	109	101	123	106	140
ACTR1A	2960	3985	5065	4357	855	2422	3131	3807
ACTR1B	684	896	1160	1065	221	497	750	856
ACTR2	994	1194	1688	1059	508	1516	1794	2131
ACTR3	648	830	989	957	744	1159	1368	1526
ACTR3B	75	103	163	149	35	115	86	133
ACTR3BP2	0	0	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0	0	0
ACTR3C	0	1	1	1	0	0	2	1
ACTR5	151	185	254	246	60	183	290	286
ACTR6	25	19	25	13	16	40	26	42
ACTR8	180	219	265	259	50	177	237	261
ACTRT1	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0
ACTRT3	27	36	62	54	15	16	49	28
ACVR1	180	249	260	214	70	196	257	308
ACVR1B	434	668	734	638	116	430	537	670
ACVR1C	0	1	0	0	0	0	0	2
ACVR2A	20	12	8	1	7	13	12	15
ACVR2B	35	53	84	54	19	60	69	75
ACVR2B-AS1	7	14	14	21	2	2	3	8
ACVRL1	14	15	15	11	2	9	13	12
ACY1	32	50	83	74	4	30	37	38
ACY3	8	7	32	34	9	8	21	18
ACYP1	47	48	108	74	25	95	67	121
ACYP2	105	160	200	150	15	57	44	91
ADA	851	1071	1368	1245	214	517	769	910
ADAD1	0	0	0	0	0	0	0	1
ADAD2	0	0	0	0	0	0	0	1
ADAL	46	62	67	87	31	52	95	73
ADAM10	375	461	563	379	179	560	593	878
ADAM11	35	56	133	53	29	69	71	80
ADAM12	90	99	158	99	27	114	90	180
ADAM15	1401	1912	2769	2449	560	1516	1854	2407
ADAM17	384	545	638	489	185	430	555	688
ADAM18	0	0	0	0	0	0	0	0
ADAM19	877	1170	1436	1075	296	953	1033	1287
ADAM1A	7	15	14	11	1	16	13	4
ADAM2	0	0	0	0	0	0	0	0
ADAM20	0	0	1	0	1	0	0	0
ADAM20P1	1	5	0	1	0	1	1	0
ADAM21	0	2	4	1	0	1	1	0
ADAM21P1	0	0	0	0	0	0	0	0
ADAM22	22	26	35	24	11	24	22	25
ADAM23	394	572	755	520	125	335	366	456
ADAM28	9	1	1	9	0	6	2	0
ADAM29	0	0	0	1	0	0	0	0
ADAM30	0	0	0	1	0	0	0	0
ADAM32	2	1	1	1	0	0	3	0
ADAM33	0	1	0	1	0	0	1	1
ADAM3A	0	0	0	0	0	0	0	0
ADAM5	0	0	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0	0
ADAM8	41	62	89	49	18	23	34	52
ADAM9	349	424	682	375	383	939	1064	1266
ADAMDEC1	0	0	0	0	0	0	0	0
ADAMTS1	7	2	6	2	2	4	1	5
ADAMTS10	270	459	550	615	80	223	250	311
ADAMTS12	24	37	46	52	9	48	45	68
ADAMTS13	59	94	124	88	12	26	46	28
ADAMTS14	6	5	10	7	2	2	8	9
ADAMTS15	52	72	114	131	42	85	106	120
ADAMTS16	35	34	43	32	15	30	51	77
ADAMTS17	4	0	3	7	2	1	4	7
ADAMTS18	0	0	0	1	0	0	0	0
ADAMTS19	0	0	0	0	0	0	0	0
ADAMTS19-AS1	0	0	0	0	0	0	0	0
ADAMTS2	60	79	61	78	1	34	2	3
ADAMTS20	1	0	0	0	0	0	0	0
ADAMTS3	0	0	0	0	0	0	0	0
ADAMTS4	1	1	0	1	0	1	0	0
ADAMTS5	1	4	1	0	1	0	0	0
ADAMTS6	7	9	39	13	5	11	13	26
ADAMTS7	413	593	819	824	31	101	118	144
ADAMTS7P1	16	14	8	25	0	0	2	2
ADAMTS8	2	11	14	12	3	10	13	22
ADAMTS9	167	253	294	256	67	136	214	257
ADAMTS9-AS1	0	0	0	0	0	0	0	0
ADAMTS9-AS2	0	0	0	0	0	0	0	0
ADAMTSL1	4	5	7	8	7	3	6	17
ADAMTSL2	2	0	1	1	0	0	1	1
ADAMTSL3	3	0	3	1	1	2	0	2
ADAMTSL4	52	84	88	38	11	65	25	33
ADAMTSL4-AS1	0	1	0	0	0	0	1	1
ADAMTSL5	78	152	139	153	22	53	64	113
ADAP1	150	200	243	231	42	97	127	130
ADAP2	121	176	221	179	24	71	84	68
ADAR	2599	3362	4273	3486	982	3344	4091	5133
ADARB1	57	131	77	103	14	53	106	62
ADARB2	0	0	1	0	0	1	0	0
ADARB2-AS1	0	0	0	0	0	0	0	0
ADAT1	277	359	394	352	90	304	367	478
ADAT2	21	28	32	26	7	39	31	29
ADAT3	31	69	70	87	33	72	67	125
ADCK1	181	269	304	240	57	176	194	262
ADCK2	366	517	619	603	149	370	508	751
ADCK3	534	728	874	777	100	327	410	552
ADCK4	658	884	1246	1054	223	595	762	1022
ADCK5	179	248	315	347	31	122	134	208
ADCY1	63	107	130	109	46	104	94	173
ADCY10	0	0	0	0	0	0	0	1
ADCY10P1	1	1	4	7	1	0	0	5
ADCY2	0	2	0	2	0	0	0	0
ADCY3	566	783	993	842	255	796	1034	1320
ADCY4	6	11	4	15	3	2	8	3
ADCY5	31	62	72	69	8	35	29	51
ADCY6	541	654	768	636	121	487	580	775
ADCY7	163	281	348	226	58	227	307	347
ADCY8	0	2	0	0	1	0	0	1
ADCY9	225	314	443	326	105	294	402	474
ADCYAP1	0	2	0	0	0	0	0	0
ADCYAP1R1	2	0	3	1	0	0	2	1
ADD1	1665	2361	2932	2552	752	1725	2143	2753
ADD2	313	420	579	412	241	654	832	984
ADD3	35	30	43	29	6	49	52	69
ADD3-AS1	0	0	0	1	0	0	0	0
ADGB	0	0	0	0	0	0	0	0
ADGRA1	1	0	1	0	0	0	1	1
ADGRA1-AS1	0	0	0	0	0	0	0	0
ADGRA2	282	415	636	457	68	200	245	250
ADGRA3	330	464	584	403	145	496	468	675
ADGRB1	48	59	62	68	10	14	20	17
ADGRB2	278	443	583	503	73	216	246	346
ADGRB3	0	0	0	0	0	0	0	0
ADGRD1	13	4	10	2	1	0	7	4
ADGRE1	278	345	401	321	73	233	269	341
ADGRE2	11	19	32	28	7	18	18	19
ADGRE3	0	0	1	0	0	1	0	0
ADGRE4P	0	0	2	0	0	0	0	0
ADGRE5	531	688	909	882	233	677	828	1127
ADGRF1	1	0	0	0	0	0	0	0
ADGRF2	1	0	0	0	1	0	0	1
ADGRF3	2	3	6	3	0	1	3	2
ADGRF4	161	195	327	164	82	176	218	262
ADGRF5	0	0	0	0	0	0	0	0
ADGRG1	2226	3166	4075	3790	1147	3298	4216	5173
ADGRG2	17	24	19	13	13	15	36	67
ADGRG3	0	3	5	2	0	0	0	10
ADGRG4	0	0	0	0	0	0	0	0
ADGRG5	0	0	1	2	0	1	0	1
ADGRG6	163	173	364	233	114	350	396	491
ADGRG7	0	1	0	0	4	0	0	0
ADGRL1	177	229	342	264	52	125	147	201
ADGRL2	51	77	75	64	12	76	70	100
ADGRL3	1	1	8	3	1	4	0	1
ADGRL3-AS1	0	0	0	0	0	0	0	0
ADGRL4	0	0	1	0	0	0	0	0
ADGRV1	7	7	17	8	1	7	5	1
ADH1A	0	0	0	0	0	0	0	0
ADH1B	0	0	0	0	0	0	0	0
ADH1C	2	7	2	0	0	2	0	4
ADH4	0	0	0	0	0	0	0	0
ADH5	1188	1512	1984	1495	363	1181	1404	1682
ADH6	0	3	0	2	0	0	1	0
ADH7	0	0	0	0	0	0	0	0
ADHFE1	16	14	20	16	5	4	2	3
ADI1	779	907	1327	1090	446	1077	1194	1720
ADIG	0	0	0	0	0	0	0	0
ADIPOQ	0	0	0	0	0	0	0	0
ADIPOQ-AS1	0	0	0	0	0	0	0	0
ADIPOR1	1147	1567	2253	1435	392	1220	1525	2038
ADIPOR2	1183	1458	1989	1379	530	1517	1860	2120
ADIRF	0	0	0	0	3	0	0	4
ADK	322	355	519	352	144	402	320	496
ADM	940	1141	1568	1470	293	432	592	648
ADM2	158	182	295	262	24	78	86	131
ADM5	30	54	63	44	18	60	104	88
ADNP	328	437	566	510	239	609	709	833
ADNP-AS1	0	1	0	0	0	1	4	3
ADNP2	152	148	306	161	76	262	320	390
ADO	152	206	279	240	114	204	247	277
ADORA1	14	27	23	20	1	6	10	15
ADORA2A	0	0	1	1	0	0	0	0
ADORA2A-AS1	0	1	1	3	1	1	0	2
ADORA2B	177	186	224	172	19	104	145	141
ADORA3	0	0	0	0	0	0	0	0
ADPGK	921	1130	1587	1030	250	1019	1099	1437
ADPGK-AS1	1	0	3	3	1	2	0	0
ADPRH	43	66	72	75	10	16	39	56
ADPRHL1	293	345	526	451	73	168	278	290
ADPRHL2	359	461	608	543	136	227	310	459
ADPRM	31	65	108	59	15	28	51	47
ADRA1A	0	0	0	2	0	0	0	0
ADRA1B	69	74	72	83	35	89	88	121
ADRA1D	90	218	248	232	19	74	95	122
ADRA2A	2	1	1	6	0	2	1	1
ADRA2B	6	1	1	0	0	0	0	1
ADRA2C	292	394	520	431	77	154	231	212
ADRB1	9	27	30	25	1	10	14	9
ADRB2	20	17	31	34	2	5	22	19
ADRB3	0	0	2	0	1	1	0	2
ADRBK1	729	1016	1328	1195	344	664	828	1180
ADRBK2	100	159	182	140	34	111	124	169
ADRM1	2479	3414	4302	4126	926	1693	2410	2785
ADSL	744	923	1156	865	331	826	1067	1362
ADSS	49	78	105	83	73	129	113	142
ADSSL1	131	155	192	198	10	42	61	52
ADTRP	4	5	10	2	3	0	3	2
AEBP1	0	1	1	0	1	1	2	5
AEBP2	71	112	126	107	66	168	136	166
AEN	1704	2289	3070	2588	493	1374	1675	2033
AES	4337	5942	8056	6941	1273	3018	3554	4906
AFAP1	809	1226	1591	1214	359	1365	1695	2061
AFAP1-AS1	5	6	3	3	5	4	1	7
AFAP1L1	115	171	216	181	26	60	129	159
AFAP1L2	156	201	280	254	108	208	234	326
AFF1	195	206	328	195	38	185	221	316
AFF2	2	0	1	1	0	0	1	0
AFF3	1	3	4	1	0	1	1	5
AFF4	152	256	298	200	105	380	418	510
AFG3L1P	150	206	204	245	79	218	223	307
AFG3L2	448	487	610	571	265	522	616	868
AFM	0	0	0	0	0	0	0	0
AFMID	335	415	576	430	120	369	524	618
AFP	7	0	11	6	0	8	5	8
AFTPH	196	176	211	162	105	208	214	233
AGA	137	202	229	197	63	116	154	207
AGAP1	565	817	942	918	206	604	731	970
AGAP1-IT1	0	4	4	5	4	0	4	3
AGAP11	1	0	2	3	0	0	0	1
AGAP12P	20	22	9	16	3	18	15	12
AGAP2	28	39	37	54	9	4	23	14
AGAP2-AS1	508	715	1068	957	113	324	510	663
AGAP3	825	1215	1602	1553	397	809	1034	1338
AGAP4	17	41	65	28	4	28	37	53
AGAP5	14	41	35	9	2	23	19	35
AGAP6	53	94	112	84	5	45	87	68
AGAP7P	3	7	13	10	4	4	6	11
AGAP9	11	12	13	26	6	12	17	27
AGBL1	0	0	0	0	0	0	0	0
AGBL1-AS1	0	0	0	0	0	0	0	0
AGBL2	11	5	18	11	0	0	9	9
AGBL3	6	7	15	5	1	3	10	9
AGBL4	0	0	0	0	0	0	0	0
AGBL4-IT1	0	0	0	0	0	0	0	0
AGBL5	1147	1567	1940	1494	315	901	1111	1417
AGBL5-AS1	1	3	0	1	0	1	2	0
AGER	0	0	0	0	2	0	0	1
AGFG1	368	459	634	436	165	646	669	886
AGFG2	396	511	664	621	106	311	272	466
AGGF1	221	274	369	289	151	228	281	418
AGK	475	512	742	497	138	478	582	702
AGL	8	8	9	2	2	5	14	17
AGMAT	106	141	209	128	27	158	151	266
AGMO	27	8	9	13	8	5	4	9
AGO1	189	256	336	187	76	258	300	416
AGO2	152	148	232	212	74	209	264	322
AGO3	39	36	53	42	21	63	57	69
AGO4	27	78	61	55	9	45	46	61
AGPAT1	62	98	122	106	15	35	91	97
AGPAT2	1068	1521	2164	1829	461	880	1142	1348
AGPAT3	801	1283	1752	1502	332	909	1208	1556
AGPAT4	48	90	128	89	16	58	74	81
AGPAT4-IT1	3	0	1	0	0	1	0	1
AGPAT5	94	117	180	135	130	204	217	265
AGPS	98	208	170	203	149	291	251	350
AGR2	174	300	378	301	41	269	262	422
AGR3	0	0	0	0	0	0	0	0
AGRN	7657	11698	15236	15930	2199	3912	5065	6169
AGRP	0	0	0	0	0	0	0	2
AGT	54	58	69	39	2	3	10	15
AGTPBP1	8	13	18	7	17	18	19	27
AGTR1	6	5	6	10	5	7	15	4
AGTR2	0	0	0	0	0	0	0	0
AGTRAP	1361	1844	2633	2351	300	753	944	1264
AGXT	1	0	0	0	0	0	1	0
AGXT2	0	0	0	0	0	0	0	0
AHCTF1	130	136	290	117	165	279	267	240
AHCTF1P1	4	2	5	2	6	6	2	8
AHCY	6540	8845	10822	9627	2415	5812	7381	9566
AHCYL1	841	996	1448	1030	476	1335	1608	2176
AHCYL2	165	241	267	228	39	148	185	235
AHDC1	229	333	404	444	82	173	236	270
AHI1	28	28	89	66	32	67	55	61
AHNAK	3248	4295	4945	3877	1971	5763	6974	8788
AHNAK2	9984	13073	16738	12983	2884	8737	10472	12878
AHR	140	248	226	213	33	112	117	149
AHRR	58	84	63	65	9	87	64	94
AHSA1	3488	4359	5998	4388	1469	3624	4268	5732
AHSA2	256	341	434	379	109	224	240	428
AHSG	2	4	2	1	0	0	0	0
AHSP	0	0	0	0	0	0	0	0
AICDA	0	3	15	2	2	0	1	0
AIDA	82	111	157	100	77	240	278	324
AIF1	0	0	0	0	0	0	0	0
AIF1L	13	22	19	9	3	17	14	21
AIFM1	1622	2031	2630	2063	573	1846	1989	2610
AIFM2	1878	2415	3167	2860	442	1105	1428	1929
AIFM3	47	63	66	96	10	18	22	27
AIG1	522	687	843	677	105	340	467	526
AIM1	2	11	18	19	3	21	14	23
AIM1L	7	20	13	11	3	1	4	7
AIM2	0	0	0	0	0	0	1	0
AIMP1	132	174	243	131	140	178	227	235
AIMP2	526	670	946	674	348	888	966	1363
AIP	1007	1412	1656	1645	415	698	947	1118
AIPL1	0	0	0	1	0	0	1	0
AIRE	0	0	0	1	0	0	1	0
AIRN	0	0	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0	0	0
AJUBA	1080	1947	1831	1420	678	1816	2206	2805
AK1	1226	1640	2018	1746	275	592	794	878
AK2	1530	2069	2443	1995	761	1791	2257	2934
AK3	267	413	561	390	95	395	458	503
AK4	92	191	199	189	46	142	162	223
AK5	124	172	215	206	76	116	135	173
AK6	29	38	48	24	15	72	51	94
AK7	71	73	113	53	17	19	32	40
AK8	52	33	53	44	3	12	19	29
AK9	23	15	20	22	4	33	18	27
AKAP1	505	724	911	771	366	867	1241	1464
AKAP10	223	290	351	244	105	294	311	475
AKAP11	36	67	35	22	16	46	67	73
AKAP12	289	480	535	360	251	568	780	992
AKAP13	904	1141	1645	1294	336	921	1083	1378
AKAP14	0	0	0	0	0	0	0	0
AKAP17A	0	0	1	0	0	0	0	0
AKAP2	6	12	4	8	7	13	11	19
AKAP3	9	8	12	4	2	4	6	13
AKAP4	0	0	0	0	0	0	1	0
AKAP5	3	4	2	1	0	3	5	7
AKAP6	16	7	51	2	6	12	8	13
AKAP7	1	5	2	11	1	1	9	3
AKAP8	186	262	427	339	118	286	398	457
AKAP8L	864	1045	1362	1251	306	754	838	1108
AKAP9	207	236	304	233	85	216	207	270
AKIP1	480	618	777	675	194	446	549	660
AKIRIN1	387	469	603	465	134	337	476	587
AKIRIN2	255	416	588	517	225	438	452	568
AKNA	149	159	246	224	45	125	156	228
AKNAD1	0	4	7	0	0	0	1	4
AKR1A1	1429	1920	2333	2018	341	902	1202	1515
AKR1B1	75686	95389	126089	98119	13995	43257	53112	68996
AKR1B10	14601	19437	22730	18540	7550	24649	29717	37518
AKR1B15	460	746	743	1000	328	569	777	1256
AKR1C1	11454	13386	15681	14666	4346	8390	10371	13047
AKR1C2	28820	36364	45829	36528	9598	25133	30517	38604
AKR1C3	26752	32889	41188	35274	8893	20026	23021	29463
AKR1C4	74	103	113	173	62	48	54	85
AKR1C6P	0	0	2	0	0	0	0	0
AKR1C8P	3	1	2	3	1	2	4	5
AKR1D1	3	2	2	1	0	4	0	0
AKR1E2	97	149	171	145	47	120	134	182
AKR7A2	492	667	815	725	240	534	718	941
AKR7A2P1	0	0	0	5	1	0	0	1
AKR7A3	6	4	10	8	1	3	2	6
AKR7L	4	6	4	5	1	2	3	7
AKT1	2159	3089	4058	3353	853	2470	3086	3761
AKT1S1	3031	3692	5990	4469	1091	3256	3749	4963
